0,0.05750363
1,0.05750363
2,0.05750363
3,0.05750363
4,0.05750364
5,0.05750361
6,0.05750361
7,0.05750361
8,0.05750361
9,0.05750361
10,0.05750361
11,0.05750361
12,0.05750361
13,0.05750361
14,0.05750361
15,0.05750361
16,0.05750361
17,0.05750361

0,0.05750363
1,0.05750363
2,0.05750363
3,0.05750363
4,0.05750364
5,0.05750361
6,0.05750361
7,0.05750361
8,0.05750361
9,0.05750361

0,0.05750363
1,0.05750363
2,0.05750363
3,0.05750363
4,0.05750364
5,0.05750361
6,0.05750361
7,0.05750361
8,0.05750361
0,0.05750363
1,0.05750363
2,0.05750363
3,0.05750363
4,0.05750364
5,0.05750361
6,0.05750361
7,0.05750361
8,0.05750361
9,0.05750361
10,0.05750361
11,0.05750361
12,0.05750361
13,0.05750361
14,0.05750361
15,0.05750361
16,0.05750361
17,0.05750361
18,0.05750367
19,0.05750373
20,0.05750373
21,0.05750373
22,0.05750373
23,0.05750373
24,0.05750373
25,0.05750373
26,0.05750373
27,0.05750373
28,0.05750373
29,0.05750373
30,0.05750373
31,0.05750373
32,0.05750373
33,0.05750373
34,0.05750373
35,0.05750361
36,0.05750361
37,0.05750361

0,0.05750363
1,0.05750363
2,0.05750363
3,0.05750363
4,0.05750364
5,0.05750361
6,0.05750361
7,0.05750361
8,0.05750361
9,0.05750361
10,0.05750361
11,0.05750361
12,0.05750361
13,0.05750361
14,0.05750361
15,0.05750361
16,0.05750361
17,0.05750361
18,0.05750367
19,0.05750373
20,0.05750373
21,0.05750373
22,0.05750373
23,0.05750373
24,0.05750373
25,0.05750373
26,0.05750373
27,0.05750373
28,0.05750373
29,0.05750373
30,0.05750373
31,0.05750373
32,0.05750373
33,0.05750373
34,0.05750373
